"plot","ABco","ABma","ACma","ARvi","CAde","CEin","COnu","PIco","PIje","PIla","PImo","PIpo","QUch","QUke","SEgi","TOca","UMca"
75,0,83.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,6.63,0,0,0,0,0,51.85,0,0,27.02,0,0,0,0,0,0
77,0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0
78,0,34.93,0,0,0,0,0,50.69,0,0,0,0,0,0,0,0,0
79,3.78,0,0,0,38.15,0,0,0,0,0.68,0,0,1.08,6.9,0,0.07,1.1
80,15.04,0,0,0,8.59,0,0,0,0,2.64,0,0,0.09,6.67,0,0.14,0
81,0.99,0,0,0,31.61,0,0,0,0,0,0,0,0,13.25,0,0,0
82,0,0,0,0,0,0,0,22.95,0,0,165.96,0,0,0,0,0,0
83,0,1.14,0,0,0,0,0,0,0,0,179.88,0,0,0,0,0,0
84,0,50.3,0,0,0,0,0,0,0,0,90.74,0,0,0,0,0,0
85,0,35.84,0,0,0,0,0,68.82,0,0,0,0,0,0,0,0,0
86,0,36.85,0,0,0,0,0,0,0,0,72.62,0,0,0,0,0,0
87,0,27.41,0,0,0,0,0,76.08,0,0,40.24,0,0,0,0,0,0
88,8.06,0,0,0,0,0,0,0,33.63,4.14,0,0,0,0,0,0,0
89,21.78,1.38,0,0,0,0,0,0,39.2,4.92,0,0,0,0,0,0,0
90,13.39,29.08,0,0,0,0,0,0,33.86,0,0,0,0,0,0,0,0
91,0.41,0,0,0,0,0,0,0,7.94,0,0,0,0,0,0,0,0
92,22.19,0,0,0,0,0,0,0,31.39,0,0,0,0,0.1,0,0,0
93,6.76,0,0,0,0,0,0,0,61.25,0,0,0,0,0,0,0,0
94,0,0,0,0,3.08,0,0,0,34.53,0,0,0,0,0,0,0,0
95,4.6,0,0,0,5.24,0,0,0,24.43,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,24.99,0,0,0,0,0,0,0,0
97,0,5.92,0,0,0,0,0,0,0,0,64.82,0,0,0,0,0,0
98,0,0.14,0,0,0,0,0,0,0,0,32.71,0,0,0,0,0,0
99,0,6.16,0,0,0,0,0,0,0,0,200.55,0,0,0,0,0,0
